feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X375288	Continent	Europe	-12.9339891143412	1.13567562968668	122	50	8.97864088300085e-21	3.77102917086036e-19
X189330	Continent	Europe	7.49464778475213	1.2309440638474	122	30	1.43562379279058e-08	3.01480996486021e-07
X1730	Continent	Europe	7.5063107805983	1.26489657867082	122	97	2.97754309439078e-08	4.16856033214709e-07
X33042	Continent	Europe	7.21541676046245	1.28879261361644	122	31	1.41059581450267e-07	1.4811256052278e-06
X1263	Continent	Europe	8.05611860952914	1.45921319893221	122	83	2.00841156710011e-07	1.53827017421647e-06
X292632	Continent	Europe	8.19078250774659	1.48896881893552	122	78	2.19752882030924e-07	1.53827017421647e-06
X816	Continent	Europe	-4.7597164636439	0.977702488803795	122	111	3.49487319467581e-06	2.09692391680549e-05
X39948	Continent	Europe	6.61745254394007	1.36953852854118	122	31	4.07293585071083e-06	2.13829132162318e-05
X561	Continent	Europe	-5.78176524138767	1.42890561685136	122	31	9.28775206027579e-05	0.000433428429479537
X239759	Continent	Europe	-6.00612076427907	1.5863499940285	122	48	0.000241277156332148	0.00101336405659502
X158846	Continent	Europe	-4.23528446476872	1.21812651719758	122	20	0.000709013157227429	0.00270714114577745
X906	Continent	Europe	-3.23651341465128	1.0661461032369	122	15	0.00294836530386592	0.0103192785635307
X216851	Continent	Europe	3.74077370182775	1.49929837074481	122	89	0.0139661714527818	0.0445585125263088
X1485	Continent	Europe	-3.63298775854042	1.46969808171332	122	34	0.0148528375087696	0.0445585125263088
X1301	Continent	Europe	2.98938266683659	1.23138958200193	122	20	0.0166948558718418	0.0467455964411571
X841	Nr..reads.sequenced	Nr..reads.sequenced	2.29968854923742e-07	1.10575140701542e-07	122	42	0.0396954816084595	0.104200639222206
X816	Nr..reads.sequenced	Nr..reads.sequenced	-1.16110029090877e-07	6.75764467162205e-08	122	111	0.0883604404856579	0.218302264729273
X33042	Nr..reads.sequenced	Nr..reads.sequenced	-1.49587668463001e-07	8.90782486284412e-08	122	31	0.0957205392031026	0.223347924807239
